HudongItem1,relation,HudongItem2
张伯苓,languages spoken written or signed,汉语
摩托罗拉,legal form,股份有限公司
陈伟霆,country of citizenship,中华人民共和国
魏建功,country of citizenship,中华人民共和国
巴里·夏普莱斯,languages spoken written or signed,英语
德语,country,比利时
张伯苓,occupation,教师
中国共产主义青年团,part of,中国共产党
秦山核电站,country,中华人民共和国
晚安,author,珀西·比希·雪莱
迈克尔·卡恩,sex or gender,男
天体,subclass of,位置
德语,country,捷克
中国共产主义青年团,political ideology,马克思列宁主义
迈克尔·卡恩,country of citizenship,美国
马仕俊,place of death,悉尼
华尔街日报,country,美国
德语,country,丹麦
张伯苓,employer,南开大学
晚安,language of work or name,英语
马仕俊,occupation,物理学家
陈伟霆,place of birth,香港
魏建功,employer,北京大学
华尔街日报,located in the administrative territorial entity,纽约
德语,country,意大利
Glitch,country of origin,澳大利亚
马仕俊,educated at,剑桥大学
陈伟霆,occupation,歌手
谭嗣同,manner of death,死刑
科摩罗,official language,法语
迈克尔·卡恩,place of birth,纽约
Glitch,original language of film or TV show,英语
马仕俊,educated at,北京大学
德语,country,卢森堡
Glitch,language of work or name,英语
华尔街日报,owned by,道琼斯公司
德语,country,波兰
谭嗣同,languages spoken written or signed,汉语
科摩罗,continent,非洲
德语,country,瑞士
华尔街日报,headquarters location,纽约
谭嗣同,occupation,哲学家
谭嗣同,occupation,作家
巴里·夏普莱斯,educated at,哈佛大学
华尔街日报,publisher,道琼斯公司
华尔街日报,place of publication,纽约
科摩罗,lowest point,印度洋
华尔街日报,country of origin,美国
华尔街日报,language of work or name,英语
纳沙泰尔湖,basin country,瑞士
纳沙泰尔湖,named after,纳沙泰尔
纳沙泰尔湖,country,瑞士
德语,has grammatical case,主格
德语,has grammatical case,属格
纳沙泰尔湖,located in the administrative territorial entity,弗里堡州
纳沙泰尔湖,located in the administrative territorial entity,沃州
德语,has grammatical case,宾格
科摩罗,diplomatic relation,美国
科摩罗,diplomatic relation,中华人民共和国
德语,has tense,过去式
我最好朋友的婚礼,narrative location,芝加哥
我最好朋友的婚礼,filming location,芝加哥
科摩罗,member of,联合国
科摩罗,member of,国际开发协会
德语,indigenous to,奥地利
德语,indigenous to,德国
科摩罗,member of,国际电信联盟
科摩罗,member of,世界气象组织
德语,different from,日耳曼语族
科摩罗,shares border with,马达加斯加
科摩罗,shares border with,法国
科摩罗,shares border with,塞舌尔
科摩罗,shares border with,坦桑尼亚
科摩罗,language used,法语
北辰区,country,中华人民共和国
PALM,instance of,基因
李洪涛,sex or gender,男
贝尔实验室,instance of,研究所
朱仙镇木版年画,country,中华人民共和国
金山毒霸,instance of,软件
李洪涛,country of citizenship,中华人民共和国
曼努埃尔·诺伊尔,sex or gender,男
武进区,country,中华人民共和国
海峡群岛,continent,欧洲
弗朗茨·贝肯鲍尔,sex or gender,男
豪尔赫·巴尔达诺,sex or gender,男
贝尔实验室,industry,信息技术
曼努埃尔·诺伊尔,country of citizenship,德国
豪尔赫·巴尔达诺,country of citizenship,阿根廷
海地,instance of,国家
易语言,instance of,集成开发环境
戴北方,country of citizenship,中华人民共和国
金浩,sex or gender,男
南越国,continent,亚洲
贝尔实验室,industry,软件
曼努埃尔·诺伊尔,country for sport,德国
弗朗茨·贝肯鲍尔,country of citizenship,德国
豪尔赫·巴尔达诺,country of citizenship,西班牙
相对分子质量,subclass of,质量
英格兰足球超级联赛,country,英国
金浩,country of citizenship,明朝
豪尔赫·巴尔达诺,country for sport,阿根廷
诺亚·韦伯斯特,sex or gender,男
杨子,sex or gender,男
周瑜,sex or gender,男
中央电视台体育频道,country,中华人民共和国
诺亚·韦伯斯特,country of citizenship,美国
杨子,country of citizenship,新加坡
周瑜,country of citizenship,东汉
戴北方,member of political party,中国共产党
蒙特利尔,country,加拿大
区块链,instance of,概念
中央电视台体育频道,owned by,中国中央电视台
爆炸,subclass of,过程
海地,official language,法语
贝尔实验室,country,美国
弗朗茨·贝肯鲍尔,place of birth,慕尼黑
豪尔赫·巴尔达诺,languages spoken written or signed,西班牙语
牧师,part of,基督教
CE,part of,计算机科学
英格兰足球超级联赛,sport,足球
曼努埃尔·诺伊尔,languages spoken written or signed,德语
马绍尔群岛,instance of,国家
贝尔实验室,owned by,诺基亚
中央电视台体育频道,operator,中国中央电视台
弗朗茨·贝肯鲍尔,languages spoken written or signed,德语
区块链,has quality,共识机制
爆炸,has cause,化学反应
英格兰足球超级联赛,operating area,英格兰
贝尔实验室,parent organization,AT&T
曼努埃尔·诺伊尔,league,德国足球甲级联赛
爆炸,has cause,核反应
海地,continent,北美洲
贝尔实验室,parent organization,诺基亚
爆炸,has cause,电弧
海地,country,海地
马绍尔群岛,official language,英语
贝尔实验室,headquarters location,美国
弗朗茨·贝肯鲍尔,league,德国足球甲级联赛
海地,lowest point,加勒比海
弗朗茨·贝肯鲍尔,member of sports team,拜仁慕尼黑足球俱乐部
马绍尔群岛,continent,大洋洲
豪尔赫·巴尔达诺,sport,足球
曼努埃尔·诺伊尔,member of sports team,拜仁慕尼黑足球俱乐部
曼努埃尔·诺伊尔,sport,足球
诺亚·韦伯斯特,languages spoken written or signed,英语
马绍尔群岛,lowest point,太平洋
诺亚·韦伯斯特,writing languages,英语
弗朗茨·贝肯鲍尔,sport,足球
海地,diplomatic relation,巴西
诺亚·韦伯斯特,occupation,作家
海地,diplomatic relation,法国
海地,diplomatic relation,以色列
诺亚·韦伯斯特,field of work,语言学
海地,diplomatic relation,加拿大
海地,diplomatic relation,智利
马绍尔群岛,diplomatic relation,密克罗尼西亚联邦
诺亚·韦伯斯特,educated at,耶鲁大学
海地,diplomatic relation,墨西哥
马绍尔群岛,diplomatic relation,美国
海地,diplomatic relation,美国
马绍尔群岛,diplomatic relation,德国
马绍尔群岛,member of,联合国
海地,diplomatic relation,德国
海地,member of,联合国
马绍尔群岛,member of,国际开发协会
海地,member of,世界贸易组织
弗朗茨·贝肯鲍尔,award received,金球奖
海地,member of,国际开发协会
蒙特利尔,twinned administrative body,阿姆斯特丹
马绍尔群岛,member of,国际电信联盟
海地,member of,国际电信联盟
蒙特利尔,twinned administrative body,雅典
海地,member of,世界气象组织
蒙特利尔,twinned administrative body,贝鲁特
蒙特利尔,twinned administrative body,汉诺威
蒙特利尔,twinned administrative body,洛杉矶
海地,shares border with,美国
海地,language used,法语
马绍尔群岛,currency,美元
马绍尔群岛,shares border with,密克罗尼西亚联邦
马绍尔群岛,shares border with,美国
马绍尔群岛,language used,英语
硅谷,country,美国
硅谷,located in the administrative territorial entity,加利福尼亚州
原子弹,subclass of,核武器
商务印书馆,instance of,出版社
Psion,instance of,商业
网易云音乐,instance of,软件
桑多尔·柯奇士,sex or gender,男
Psion,instance of,企业
金球制,sport,足球
商务印书馆,industry,出版
桑多尔·柯奇士,country of citizenship,匈牙利
尤长靖,sex or gender,男
金球制,sport,曲棍球
商务印书馆,country,中华人民共和国
Psion,legal form,上市公司
传输,subclass of,过程
闭元音,subclass of,元音
坐骨,instance of,骨骼
纳米比亚,instance of,国家
深圳机场北站,country,中华人民共和国
秀,writing system,汉字
井冈山,country,中华人民共和国
尤长靖,country of citizenship,马来西亚
网易云音乐,country,中华人民共和国
太阳光,instance of,能源
勾股定理,part of,欧几里得几何
太阳光,subclass of,光
人工生命,fictional analog of,生命
巴尔的摩,country,美国
尤长靖,occupation,歌手
勾股定理,named after,毕达哥拉斯
太阳光,used by,太阳能
辐射,part of,物理学
刚果民主共和国,instance of,国家
传输,uses,介质
纳米比亚,official language,英语
铁臂阿童木,country of origin,日本
重庆理工大学,country,中华人民共和国
北半球,part of,地球
BSC,instance of,研究所
勾股定理,discoverer or inventor,毕达哥拉斯
辐射,studied by,物理学
光年,measured physical quantity,长度
铁臂阿童木,language of work or name,日语
日德兰半岛,country,丹麦
BSC,country,西班牙
阿拉伯半岛,country,卡塔尔
日德兰半岛,located in the administrative territorial entity,丹麦
刚果民主共和国,official language,法语
纳米比亚,continent,非洲
日德兰半岛,located in or next to body of water,北海
北半球,has part,非洲
纳米比亚,country,纳米比亚
网易云音乐,platform,Linux
北半球,has part,亚洲
刚果民主共和国,continent,非洲
网易云音乐,platform,iOS
北半球,has part,欧洲
阿拉伯半岛,country,伊拉克
刚果民主共和国,country,刚果民主共和国
网易云音乐,platform,Android
北半球,has part,北美洲
纳米比亚,lowest point,大西洋
桑多尔·柯奇士,member of sports team,巴塞罗那足球俱乐部
网易云音乐,investor,百度
北半球,has part,印度洋
刚果民主共和国,lowest point,大西洋
北半球,has part,太平洋
网易云音乐,operating area,中国大陆
桑多尔·柯奇士,sport,足球
阿拉伯半岛,located in or next to body of water,印度洋
纳米比亚,diplomatic relation,加拿大
纳米比亚,diplomatic relation,德国
纳米比亚,diplomatic relation,澳大利亚
纳米比亚,diplomatic relation,以色列
刚果民主共和国,diplomatic relation,德国
刚果民主共和国,diplomatic relation,加拿大
刚果民主共和国,diplomatic relation,挪威
纳米比亚,diplomatic relation,马来西亚
刚果民主共和国,diplomatic relation,比利时
纳米比亚,diplomatic relation,英国
刚果民主共和国,diplomatic relation,刚果共和国
刚果民主共和国,diplomatic relation,巴西
纳米比亚,diplomatic relation,瑞典
刚果民主共和国,diplomatic relation,美国
刚果民主共和国,diplomatic relation,俄罗斯
纳米比亚,diplomatic relation,赞比亚
刚果民主共和国,diplomatic relation,希腊
巴尔的摩,twinned administrative body,鹿特丹
刚果民主共和国,diplomatic relation,中华人民共和国
纳米比亚,diplomatic relation,美国
纳米比亚,diplomatic relation,俄罗斯
刚果民主共和国,diplomatic relation,赞比亚
纳米比亚,diplomatic relation,中华人民共和国
刚果民主共和国,member of,联合国
纳米比亚,diplomatic relation,印度
刚果民主共和国,member of,世界贸易组织
纳米比亚,diplomatic relation,肯尼亚
纳米比亚,member of,联合国
刚果民主共和国,member of,国际开发协会
纳米比亚,member of,世界贸易组织
刚果民主共和国,member of,国际电信联盟
纳米比亚,member of,国际电信联盟
纳米比亚,member of,世界气象组织
刚果民主共和国,member of,世界气象组织
纳米比亚,shares border with,赞比亚
刚果民主共和国,shares border with,乌干达
刚果民主共和国,shares border with,卢旺达
刚果民主共和国,shares border with,坦桑尼亚
刚果民主共和国,shares border with,赞比亚
刚果民主共和国,shares border with,刚果共和国
纳米比亚,language used,英语
刚果民主共和国,shares border with,苏丹
纳米比亚,language used,英语
刚果民主共和国,shares border with,喀麦隆
刚果民主共和国,shares border with,卢旺达
深圳博物馆,country,中华人民共和国
克里斯蒂安一世,sex or gender,男
机器学习,subclass of,计算机科学
电离,subclass of,化学反应
龚蓓苾,country of citizenship,中华人民共和国
深圳博物馆,located in the administrative territorial entity,福田区
克里斯蒂安一世,country of citizenship,挪威
机器学习,subclass of,人工智能
布雷泽,country,法国
克里斯蒂安一世,country of citizenship,丹麦
机器学习,part of,人工智能
梅婷,country of citizenship,中华人民共和国
克里斯蒂安一世,country of citizenship,瑞典
机器学习,follows,模式识别
列宁,sex or gender,男
AV-Comparatives,instance of,软件
战略任务,genre,回合制策略游戏
1998年法国世界杯,country,法国
e1,sport,足球
沈阳建筑大学,country,中华人民共和国
列宁,country of citizenship,苏联
Raid,country of origin,印度尼西亚
战略任务,country of origin,美国
克里斯蒂安一世,noble title,公爵
函数,studied by,数学
体育馆,use,体育
克里斯蒂安一世,noble title,伯爵
电子学,subclass of,技术
邪不压正,country of origin,中华人民共和国
Faith,place of publication,英国
机器学习,different from,人工智能
墨西哥,instance of,国家
邪不压正,director,姜文
Faith,country of origin,英国
公钥基础设施,facet of,密码学
墨西哥,part of,北美洲
群,studied by,群论
墨西哥,official language,西班牙语
Faith,different from,Faith
1998年法国世界杯,sport,足球
墨西哥,continent,北美洲
1998年法国世界杯,organizer,国际足球联合会
墨西哥,country,墨西哥
墨西哥,capital,墨西哥城
Raid,filming location,印度尼西亚
列宁,native language,俄语
列宁,languages spoken written or signed,俄语
列宁,languages spoken written or signed,法语
列宁,languages spoken written or signed,英语
列宁,languages spoken written or signed,德语
列宁,writing languages,德语
列宁,writing languages,法语
列宁,writing languages,英语
列宁,writing languages,俄语
墨西哥,diplomatic relation,意大利
列宁,occupation,作家
墨西哥,diplomatic relation,巴西
列宁,occupation,经济学家
墨西哥,diplomatic relation,德国
墨西哥,diplomatic relation,澳大利亚
墨西哥,diplomatic relation,乌克兰
列宁,occupation,哲学家
墨西哥,diplomatic relation,俄罗斯
墨西哥,diplomatic relation,美国
墨西哥,diplomatic relation,以色列
墨西哥,diplomatic relation,挪威
墨西哥,diplomatic relation,摩洛哥
列宁,movement,马克思主义
墨西哥,diplomatic relation,塞内加尔
墨西哥,diplomatic relation,英国
1998年法国世界杯,statistical leader,达沃·苏克
墨西哥,diplomatic relation,西班牙
墨西哥,diplomatic relation,新加坡
墨西哥,diplomatic relation,瑞典
墨西哥,diplomatic relation,波兰
列宁,residence,莫斯科
墨西哥,diplomatic relation,瑞士
墨西哥,diplomatic relation,秘鲁
墨西哥,diplomatic relation,欧洲联盟
列宁,work location,莫斯科
墨西哥,diplomatic relation,乌拉圭
墨西哥,diplomatic relation,尼加拉瓜
墨西哥,diplomatic relation,巴基斯坦
墨西哥,diplomatic relation,泰国
刚果民主共和国,language used,法语
墨西哥,diplomatic relation,越南
墨西哥,diplomatic relation,坦桑尼亚
墨西哥,diplomatic relation,菲律宾
墨西哥,diplomatic relation,哥伦比亚
墨西哥,diplomatic relation,法国
墨西哥,diplomatic relation,阿根廷
墨西哥,diplomatic relation,比利时
列宁,conflict,十月革命
墨西哥,diplomatic relation,加拿大
墨西哥,diplomatic relation,丹麦
墨西哥,diplomatic relation,匈牙利
墨西哥,diplomatic relation,埃及
列宁,influenced by,卡尔·马克思
列宁,influenced by,弗里德里希·恩格斯
墨西哥,diplomatic relation,印度尼西亚
墨西哥,diplomatic relation,马来西亚
墨西哥,diplomatic relation,日本
墨西哥,diplomatic relation,捷克
墨西哥,diplomatic relation,萨尔瓦多
列宁,significant event,十月革命
墨西哥,diplomatic relation,海地
墨西哥,diplomatic relation,奥地利
墨西哥,diplomatic relation,黎巴嫩
墨西哥,diplomatic relation,埃塞俄比亚
墨西哥,diplomatic relation,圭亚那
墨西哥,diplomatic relation,肯尼亚
墨西哥,diplomatic relation,哈萨克斯坦
墨西哥,diplomatic relation,牙买加
墨西哥,diplomatic relation,保加利亚
墨西哥,diplomatic relation,爱沙尼亚
墨西哥,diplomatic relation,塞尔维亚
墨西哥,diplomatic relation,中华人民共和国
墨西哥,diplomatic relation,希腊
墨西哥,diplomatic relation,印度
墨西哥,diplomatic relation,阿尔及利亚
墨西哥,diplomatic relation,新西兰
墨西哥,diplomatic relation,智利
墨西哥,diplomatic relation,克罗地亚
墨西哥,member of,联合国
墨西哥,member of,经济合作与发展组织
墨西哥,member of,世界贸易组织
墨西哥,member of,亚太经济合作组织
墨西哥,member of,国际开发协会
刚果民主共和国,different from,刚果共和国
墨西哥,member of,国际奥林匹克委员会
墨西哥,member of,国际民用航空组织
墨西哥,member of,国际原子能机构
千山,country,中华人民共和国
狄仁杰,sex or gender,男
安安,sex or gender,男
收入,subclass of,财富
盈科数码,instance of,商业
短信,subclass of,服务
万有引力,followed by,相对论
约翰·道尔顿,sex or gender,男
收入,facet of,财富
盈科数码,instance of,企业
申又枨,sex or gender,男
甜蜜暴击,country of origin,中华人民共和国
曹卫宇,sex or gender,男
申又枨,country of citizenship,中华人民共和国
阿里巴巴和四十大盗,published in,一千零一夜
甜蜜暴击,cast member,鹿晗
曹卫宇,country of citizenship,中华人民共和国
圆塔,country,丹麦
乌韦·席勒,sex or gender,男
万有引力,country of origin,美国
乌韦·席勒,country of citizenship,德国
乌兹别克斯坦,instance of,国家
万有引力,original language of film or TV show,英语
URI,country,美国
乌韦·席勒,country for sport,德国
万有引力,language of work or name,英语
墨西哥,member of,国际电信联盟
约翰·道尔顿,native language,英语
申又枨,employer,南开大学
墨西哥,member of,世界气象组织
约翰·道尔顿,languages spoken written or signed,英语
申又枨,employer,国立西南联合大学
墨西哥,contains administrative territorial entity,墨西哥城
乌韦·席勒,place of birth,汉堡
约翰·道尔顿,writing languages,英语
盈科数码,headquarters location,香港
申又枨,employer,北京大学
狄仁杰,languages spoken written or signed,汉语
乌兹别克斯坦,continent,亚洲
TCL,programming paradigm,面向对象程序设计
约翰·道尔顿,occupation,物理学家
申又枨,educated at,南开大学
银河系,constellation,天琴座
乌兹别克斯坦,country,乌兹别克斯坦
申又枨,educated at,哈佛大学
银河系,constellation,天龙座
乌韦·席勒,languages spoken written or signed,德语
阿甘正传,country of origin,美国
约翰·道尔顿,field of work,物理学
阿甘正传,original language of film or TV show,英语
乌韦·席勒,league,德国足球甲级联赛
约翰·道尔顿,employer,牛津大学
银河系,constellation,天秤座
乌韦·席勒,residence,汉堡
银河系,constellation,金牛座
银河系,constellation,双子座
银河系,constellation,狮子座
银河系,constellation,摩羯座
乌韦·席勒,sport,足球
乌兹别克斯坦,diplomatic relation,德国
乌兹别克斯坦,diplomatic relation,乌克兰
乌兹别克斯坦,diplomatic relation,爱沙尼亚
乌兹别克斯坦,diplomatic relation,塞尔维亚
乌兹别克斯坦,diplomatic relation,哈萨克斯坦
乌兹别克斯坦,diplomatic relation,巴基斯坦
乌兹别克斯坦,diplomatic relation,保加利亚
约翰·道尔顿,notable work,倍比定律
乌兹别克斯坦,diplomatic relation,英国
乌兹别克斯坦,diplomatic relation,马来西亚
狄仁杰,described by source,新唐书
乌兹别克斯坦,diplomatic relation,俄罗斯
乌兹别克斯坦,diplomatic relation,希腊
乌兹别克斯坦,diplomatic relation,美国
乌兹别克斯坦,member of,联合国
墨西哥,owner of,墨西哥城
乌兹别克斯坦,member of,国际开发协会
墨西哥,shares border with,美国
乌兹别克斯坦,member of,国际电信联盟
墨西哥,language used,西班牙语
乌兹别克斯坦,member of,世界气象组织
乌兹别克斯坦,shares border with,哈萨克斯坦
乌兹别克斯坦,language used,俄语
阿甘正传,cast member,约翰·列侬
阿甘正传,director of photography,唐·伯吉斯
阿甘正传,composer,亚伦·史维斯查
阿甘正传,narrative location,越南
阿甘正传,narrative location,纽约
阿甘正传,filming location,加利福尼亚州
阿甘正传,characters,约翰·列侬
头脑风暴,instance of,技术
宜春学院,country,中华人民共和国
西安交通大学,country,中华人民共和国
行为主义,subclass of,研究
网易游戏,instance of,软件
加布里埃尔·巴蒂斯图塔,sex or gender,男
马东,sex or gender,男
调查,subclass of,项目
网易游戏,operating system,Android
加布里埃尔·巴蒂斯图塔,country of citizenship,阿根廷
利比亚,instance of,国家
品冠,sex or gender,男
网易游戏,operating system,iOS
加布里埃尔·巴蒂斯图塔,country for sport,阿根廷
温斯顿,language of work or name,英语
廖启智,sex or gender,男
品冠,country of citizenship,马来西亚
宠爱,country of origin,中华人民共和国
白珊,country of citizenship,中华人民共和国
约翰·特里,sex or gender,男
山东管理学院,country,中华人民共和国
廖启智,country of citizenship,中华人民共和国
申根,country,卢森堡
约翰·特里,country of citizenship,英国
加布里埃尔·巴蒂斯图塔,languages spoken written or signed,西班牙语
深圳湾体育中心,country,中华人民共和国
包起帆,educated at,武汉理工大学
山下智久,sex or gender,男
温斯顿,family name identical to this given name,温斯顿
约翰·特里,country for sport,英格兰
品冠,place of birth,吉隆坡
托马斯·布洛林,sex or gender,男
王守觉,sex or gender,男
孟少农,country of citizenship,中华人民共和国
包起帆,member of political party,中国共产党
山下智久,country of citizenship,日本
品冠,occupation,歌手
托马斯·布洛林,country of citizenship,瑞典
王守觉,country of citizenship,中华人民共和国
深圳湾体育中心,location,南山区
任宏,sex or gender,男
北京大学深圳研究生院,country,中华人民共和国
深圳宝安国际机场,country,中华人民共和国
利比亚,continent,非洲
关羽,sex or gender,男
泰勒·拉塞尔,country of citizenship,加拿大
任宏,country of citizenship,明朝
孟少农,educated at,清华大学
深圳湾体育中心,different from,深圳大运中心
深圳宝安国际机场,located in the administrative territorial entity,宝安区
约翰·特里,place of birth,巴金
利比亚,country,利比亚
瓜德罗普,continent,北美洲
孟少农,member of political party,中国共产党
忐忑,country of origin,美国
山下智久,languages spoken written or signed,日语
瓜德罗普,country,法国
忐忑,original language of film or TV show,英语
约翰·特里,languages spoken written or signed,英语
利比亚,located in or next to body of water,地中海
深圳宝安国际机场,stock exchange,深圳证券交易所
山下智久,occupation,歌手
瓜德罗普,located in the administrative territorial entity,法国
廖启智,permanent resident of,香港
托马斯·布洛林,league,英格兰足球超级联赛
约翰·特里,league,英格兰足球超级联赛
山下智久,occupation,作曲家
加布里埃尔·巴蒂斯图塔,sport,足球
约翰·特里,sport,足球
关羽,languages spoken written or signed,汉语
利比亚,diplomatic relation,意大利
利比亚,diplomatic relation,巴西
关羽,religion,佛教
利比亚,diplomatic relation,德国
托马斯·布洛林,sport,足球
忐忑,narrative location,巴黎
利比亚,diplomatic relation,摩洛哥
利比亚,diplomatic relation,埃及
利比亚,diplomatic relation,法国
利比亚,diplomatic relation,阿尔及利亚
利比亚,diplomatic relation,乍得
利比亚,diplomatic relation,克罗地亚
利比亚,diplomatic relation,捷克
利比亚,diplomatic relation,丹麦
利比亚,diplomatic relation,英国
利比亚,diplomatic relation,瑞士
利比亚,diplomatic relation,巴基斯坦
利比亚,diplomatic relation,菲律宾
利比亚,diplomatic relation,美国
利比亚,diplomatic relation,塞尔维亚
利比亚,diplomatic relation,俄罗斯
利比亚,diplomatic relation,中华人民共和国
利比亚,diplomatic relation,印度
利比亚,diplomatic relation,肯尼亚
利比亚,diplomatic relation,赞比亚
瓜德罗普,currency,欧元
利比亚,member of,联合国
瓜德罗普,language used,法语
利比亚,member of,国际开发协会
利比亚,member of,国际电信联盟
利比亚,member of,世界气象组织
利比亚,shares border with,埃及
利比亚,shares border with,苏丹
利比亚,shares border with,阿尔及利亚
利比亚,shares border with,乍得
利比亚,shares border with,尼日尔
黄志忠,sex or gender,男
内地,different from,内地
中国科学院物理研究所,instance of,研究所
.cc,country,澳大利亚
杜江,sex or gender,男
中国科学院物理研究所,country,中华人民共和国
文学家,field of this occupation,写作
周同惠,sex or gender,男
杜江,place of birth,中华人民共和国
富士康,instance of,商业
珠江口,country,中华人民共和国
巴迪亚,country,意大利
中国科学院物理研究所,parent organization,中国科学院
富士康,instance of,企业
周同惠,country of citizenship,中华人民共和国
南昌大学,country,中华人民共和国
来自远方,original language of film or TV show,西班牙语
钛合金,subclass of,金属
乌托邦,named after,乌托邦
武汉大学,country,中华人民共和国
富士康,industry,电子学
茹萍,country of citizenship,中华人民共和国
李世民,sex or gender,男
副省级市,country,中华人民共和国
卡塞尔文献展,country,德国
布基纳法索,instance of,国家
周同惠,occupation,工程师
李世民,country of citizenship,中华人民共和国
印欧语系,has part,罗曼语族
布基纳法索,official language,法语
印欧语系,has part,日耳曼语族
富士康,legal form,上市公司
周同惠,educated at,北京大学
布基纳法索,continent,非洲
印欧语系,has part,意大利语族
来自远方,RTC film rating,C
明斯克,country,苏联
布基纳法索,diplomatic relation,德国
布基纳法索,diplomatic relation,加拿大
布基纳法索,diplomatic relation,瑞典
布基纳法索,diplomatic relation,丹麦
布基纳法索,diplomatic relation,美国
富士康,product or material produced,主板
布基纳法索,diplomatic relation,俄罗斯
布基纳法索,member of,联合国
布基纳法索,member of,世界贸易组织
布基纳法索,member of,国际开发协会
布基纳法索,member of,国际电信联盟
布基纳法索,member of,世界气象组织
李世民,spouse,武则天
明斯克,twinned administrative body,波恩
李世民,child,唐高宗
明斯克,twinned administrative body,德黑兰
布基纳法索,shares border with,尼日尔
布基纳法索,shares border with,多哥
李世民,languages spoken written or signed,文言文
布基纳法索,language used,法语
在一起,country of origin,香港
Aria,country,苏联
八卦,country of origin,中华人民共和国
Aria,country,俄罗斯
建军大业,country of origin,中华人民共和国
纽约客,instance of,出版社
沃纳·海森堡,sex or gender,男
贝鲁特,country,黎巴嫩
Aria,location of formation,莫斯科
未来之路,main subject,信息技术
德国战车,location of formation,柏林
瑞奇·马丁,sex or gender,男
WMA,country,美国
亚琴科,language of work or name,俄语
蠕虫,subclass of,肉食性
WMA,country,加拿大
牛轧糖,country of origin,意大利
纽约客,field of work,流行文化
亚琴科,writing system,西里尔字母
瑞奇·马丁,country of citizenship,西班牙
未来之路,genre,经济学
贝鲁特,capital of,黎巴嫩
触摸未来,country of origin,美国
触摸未来,language of work or name,英语
Amarok,language of work or name,英语
纽约客,country,美国
大豆,this taxon is source of,大豆油
未来之路,author,比尔·盖茨
贝鲁特,located in or next to body of water,地中海
Amarok,language of work or name,法语
纽约客,headquarters location,纽约
沃纳·海森堡,place of death,慕尼黑
德国战车,country of origin,德国
