HudongItem,relation,NewNode
音位,studied by,音韵学
哪吒,instance of,神
186,follows,185年
类地行星,has part,矽酸盐
植物油,use,汽车燃料
意大利语族,has part,奥斯坎-翁布里亚语支
黑天鹅,IUCN conservation status,无危物种
有道词典,operating system,视窗电话
装订,described by source,亚美尼亚苏维埃百科全书
斯卡格拉克海峡,tributary,Nidelva
胡一天,occupation,电视演员
宋洋,occupation,演员
一路惊喜,original language of film or TV show,标准汉语
结晶学,instance of,branch of chemistry
韵母,studied by,汉语音韵学
噪音,subclass of,声音
足球小将,instance of,动画电视节目系列
RTSP,described by source,RFC 2326: Real Time Streaming Protocol (RTSP)
猎毒人,original broadcaster,江苏卫视
大家庭,country of origin,俄罗斯苏维埃联邦社会主义共和国
Cut,located in the administrative territorial entity,阿尔巴县
音位,different from,音拍
186,followed by,187年
类地行星,different from,内行星
植物油,use,化妆品
意大利语族,has part,威尼托语
黑天鹅,topic's main category,Category:Cygnus atratus
声名狼藉,director,道格拉斯·麦格拉斯
有道词典,copyright license,免费软体
装订,topic's main category,Category:书籍装订
斯卡格拉克海峡,tributary,Uggerby Å
宋洋,educated at,北京电影学院
一路惊喜,director,金依萌
2016,instance of,年份
网速,instance of,维基媒体消歧义页
张志东,instance of,人类
光谱仪,subclass of,测量仪器
高分子化学,instance of,branch of chemistry
结晶学,instance of,学科
噪音,manifestation of,废话
华东交通大学,located in the administrative territorial entity,南昌市
RTSP,described by source,RFC 7826: Real-Time Streaming Protocol Version 2.0
猎毒人,original broadcaster,东方卫视
Cut,head of government,Vasile Mutu
哪吒,father,李靖
186,topic's main category,Category:186年
类地行星,topic's main category,Category:类地行星
植物油,use,食物
意大利语族,different from,史前意大利民族列表
声名狼藉,screenwriter,道格拉斯·麦格拉斯
斯卡格拉克海峡,tributary,Esrum Å
2016,part of,2010年代
光谱仪,subclass of,光学仪器
高分子化学,instance of,学术专业
结晶学,subclass of,分析化学
韵母,has part,介音
噪音,topic's main template,Template:Noise
足球小将,derivative work,Captain Tsubasa
猎毒人,original broadcaster,Astro双星
大家庭,director,Iosif Kheifits
Cut,head of government,Sorin-Gheorghe Bâscă
音位,different from,字位
哪吒,student of,太乙救苦天尊
植物油,described by source,俄语详解词典
意大利语族,topic's main category,Category:义大利语族
声名狼藉,cast member,陶比·琼斯
一路惊喜,filming location,上海市
高清视频,subclass of,影片
周培源,instance of,人类
1994年美国世界杯,instance of,赛季
爱尔兰人,instance of,族群
遗传编程,instance of,组
黄遵宪,instance of,人类
类星体,instance of,天文对象类型
食盐,instance of,食材
光谱仪,topic's main category,Category:光谱仪
QQ音乐,operating system,Microsoft Windows
结晶学,subclass of,矿物学
韵母,has part,韵腹
噪音,topic's main category,Category:噪音
大家庭,screenwriter,弗·阿·柯切托夫
音位,different from,语素
植物油,different from,矿物油
声名狼藉,cast member,珊卓·布拉克
一路惊喜,filming location,北京市
1994年美国世界杯,sports season of league or competition,世界杯足球赛
爱尔兰人,part of,赛尔提克人 (现代)
遗传编程,instance of,computer science term
类星体,subclass of,活动星系核
食盐,instance of,混合物
张志东,family name,张
高分子化学,topic's main category,Category:高分子化学
结晶学,practiced by,crystallographer
韵母,has part,韵尾
足球小将,main subject,初中学生
大家庭,screenwriter,Iosif Kheifits
Cut,located in time zone,UTC+02:00
音位,different from,vocal sound
哪吒,topic's main category,Category:哪咤
植物油,topic's main category,Category:植物性油脂
声名狼藉,cast member,丹尼尔·克雷格
一路惊喜,color,彩色
爱尔兰人,country,爱尔兰共和国
遗传编程,part of,电脑程式设计
黄遵宪,country of citizenship,清朝
类星体,part of,星系团
食盐,instance of,食材
2016,has part,2016年1月
张志东,place of birth,东莞市
结晶学,studies,晶体
韵母,different from,rime
足球小将,main subject,高中生
大家庭,cast member,阿列克谢·巴塔洛夫
Cut,located in time zone,UTC+03:00
音位,different from,同位异音
声名狼藉,cast member,彼得·波丹诺维兹
周培源,family name,周
1994年美国世界杯,location,甘迺迪纪念球场
遗传编程,topic's main category,Category:Genetic programming
黄遵宪,family name,黄
类星体,topic's main template,Template:Quasar
食盐,subclass of,食材
2016,has part,2016年2月
张志东,occupation,实业家
结晶学,described by source,亚美尼亚苏维埃百科全书
足球小将,main subject,小学生
大家庭,cast member,保利斯·安德耶夫
音位,topic's main template,Template:Infobox IPA
声名狼藉,cast member,杰夫·丹尼尔
周培源,place of birth,宜兴市
1994年美国世界杯,location,巨人球场
黄遵宪,place of birth,梅州市
类星体,topic's main category,Category:类星体
食盐,manifestation of,saltiness
2016,has part,2016年3月
张志东,educated at,华南理工大学
QQ音乐,copyright license,专利授权条款
结晶学,topic's main category,Category:晶体学
足球小将,author,高桥阳一
大家庭,cast member,伊雅·阿瑞皮娜
音位,topic's main category,Category:Phonemes
声名狼藉,cast member,琥珀·戴维丝
周培源,place of death,北京市
1994年美国世界杯,location,玫瑰碗
爱尔兰人,described by source,亚美尼亚苏维埃百科全书
黄遵宪,place of death,梅州市
食盐,described by source,天主教百科全书
2016,has part,2016年4月
大家庭,cast member,克莱拉·卢区寇
音位,on focus list of Wikimedia project,Wikipedia:基础条目
声名狼藉,cast member,格温妮丝·帕特罗
斯卡格拉克海峡,described by source,亚美尼亚苏维埃百科全书
周培源,occupation,理论物理学家
1994年美国世界杯,location,福克斯堡球场
爱尔兰人,topic's main category,Category:爱尔兰人
黄遵宪,occupation,诗人
食盐,described by source,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
2016,has part,2016年5月
张志东,residence,深圳市
大家庭,cast member,薇拉·库兹尼索娃
声名狼藉,cast member,伊莎贝拉·罗塞里尼
斯卡格拉克海峡,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
周培源,field of work,理论物理学
1994年美国世界杯,location,庞蒂亚克银蛋球场
黄遵宪,occupation,外交官
食盐,described by source,布罗克豪斯-艾佛隆百科词典
2016,has part,2016年6月
张志东,different from,张之洞
大家庭,cast member,赛尔吉·卢其亚诺夫
声名狼藉,cast member,茱丽叶·史蒂芬森
斯卡格拉克海峡,described by source,布罗克豪斯-艾佛隆百科词典
1994年美国世界杯,location,史丹福体育场
黄遵宪,position held,大使
食盐,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
2016,has part,2016年8月
足球小将,illustrator,高桥阳一
大家庭,cast member,帕弗·卡东契尼可夫
声名狼藉,cast member,雪歌妮·薇佛
斯卡格拉克海峡,described by source,Limits of Oceans and Seas 3rd edition
1994年美国世界杯,location,棉花碗球场
黄遵宪,described by source,清代学者象传
食盐,has part,氯化钠
2016,has part,2016年9月
足球小将,characters,Ricardo Espadas
大家庭,cast member,尼可赖·古里斯寇
声名狼藉,cast member,李·培斯
斯卡格拉克海峡,topic's main category,Category:Skagerrak
周培源,position held,全国政协委员
1994年美国世界杯,location,军人球场
食盐,has part,杂质
2016,has part,2016年10月
足球小将,list of episodes,足球小将欧洲争霸战
大家庭,cast member,赛尔吉·库利洛夫
声名狼藉,cast member,约翰·班杰明·西基
斯卡格拉克海峡,bodies of water basin category,Category:Drainage basins of Skagerrak
周培源,member of,中国科学院数学物理学部
1994年美国世界杯,location,佛罗里达柑橘碗体育场
食盐,has part,食品添加剂
2016,has part,2016年11月
足球小将,intended public,少年漫画
大家庭,director of photography,Sergei Ivanov
声名狼藉,cast member,Richard Jones
斯卡格拉克海峡,category for maps,Category:Maps of Skagerrak
食盐,has part,抗结剂
2016,has part,2016年12月
足球小将,intended public,青年漫画
大家庭,composer,Venedikt Pushkov
声名狼藉,cast member,Gail Cronauer
食盐,has part,碘化钾
足球小将,topic's main template,Template:Captain Tsubasa
大家庭,production company,列宁格勒电影制片厂
声名狼藉,director of photography,布鲁诺·戴波内尔
周培源,educated at,加州理工学院
1994年美国世界杯,mascot,Striker
食盐,different from,石盐
2016,topic's main category,Category:2016年
足球小将,topic's main category,Category:足球小将
大家庭,color,彩色
声名狼藉,composer,丽素·宝曼
周培源,academic degree,Doctor of Philosophy in Physics
1994年美国世界杯,participating team,哥伦比亚国家足球队
食盐,different from,盐
大家庭,CNC film rating (France),no age restriction (U)
声名狼藉,producer,克里斯蒂娜·瓦尚
周培源,doctoral advisor,埃里克·坦普尔·贝尔
1994年美国世界杯,participating team,罗马尼亚国家足球队
食盐,different from,氯化钠
声名狼藉,producer,约翰·威尔斯
周培源,member of political party,九三学社
1994年美国世界杯,participating team,美国国家足球队
食盐,different from,G音
声名狼藉,production company,杀手电影
周培源,described by source,中国科学技术专家传略·理学编·物理学卷一
1994年美国世界杯,participating team,瑞士国家足球队
食盐,said to be the same as,氯化钠
声名狼藉,distributed by,华纳独立影片公司
1994年美国世界杯,participating team,巴西国家足球队
食盐,said to be the same as,石盐
1994年美国世界杯,participating team,喀麦隆国家足球队
食盐,topic's main category,Category:食盐
声名狼藉,narrative location,堪萨斯州
1994年美国世界杯,participating team,俄罗斯国家足球队
1994年美国世界杯,participating team,瑞典国家足球队
声名狼藉,aspect ratio,宽萤幕
1994年美国世界杯,participating team,玻利维亚国家足球队
声名狼藉,original film format,35毫米胶片
1994年美国世界杯,participating team,德国国家足球队
声名狼藉,color,彩色
1994年美国世界杯,participating team,西班牙国家足球队
声名狼藉,CNC film rating (France),no age restriction (U)
1994年美国世界杯,participating team,韩国国家足球队
声名狼藉,CNC film rating (France),warning (CNC)
1994年美国世界杯,participating team,阿根廷国家足球队
声名狼藉,Filmiroda rating,III级
1994年美国世界杯,participating team,保加利亚国家足球队
声名狼藉,Medierådet rating,For ages 15 and up
1994年美国世界杯,participating team,希腊国家足球队
1994年美国世界杯,participating team,尼日利亚国家足球队
1994年美国世界杯,participating team,爱尔兰国家足球队
1994年美国世界杯,participating team,意大利国家足球队
1994年美国世界杯,participating team,墨西哥国家足球队
1994年美国世界杯,participating team,挪威国家足球队
1994年美国世界杯,participating team,比利时国家足球队
1994年美国世界杯,participating team,摩洛哥国家足球队
1994年美国世界杯,participating team,荷兰国家足球队
1994年美国世界杯,participating team,沙特阿拉伯国家足球队
1994年美国世界杯,winner,巴西国家足球队
1994年美国世界杯,statistical leader,奥列格·萨连科
1994年美国世界杯,final event,1994年世界杯足球赛决赛
1994年美国世界杯,has part,1994年世界杯足球赛淘汰赛阶段
1994年美国世界杯,topic's main category,Category:1994年世界杯足球赛
我最好朋友的婚礼,instance of,电影
我最好朋友的婚礼,genre,浪漫喜剧
蜀锦,subclass of,锦缎
我最好朋友的婚礼,genre,LGBT-related film
蜀锦,subclass of,绫罗绸缎
无线通讯,instance of,field of study
张艺上,instance of,人类
张伯苓,instance of,人类
李子,instance of,生物分类单元
摩托罗拉,instance of,跨国公司
中世纪,instance of,age
蜀锦,part of,Three Famous Brocades
张艺上,place of birth,重庆市
李子,taxon rank,节
史瓦西黑洞,named after,卡尔·史瓦西
中世纪,studied by,中世纪研究学者
寒带,instance of,气候
巴里·夏普莱斯,instance of,人类
王家卫,instance of,人类
帆板,instance of,运动类型
德语,instance of,语言
朱晓渔,instance of,人类
无线通讯,subclass of,电信
张艺上,educated at,中央戏剧学院
李子,parent taxon,李亚属
摩托罗拉,industry,telecommunications industry
中世纪,studied by,medieval history
我最好朋友的婚礼,director,保罗·约翰·霍根
限定词,subclass of,单词
帆板,subclass of,水类运动
德语,instance of,现代语言
蜀锦,material used,丝绸
张伯苓,country of citizenship,中华民国 (1912–1949)
摩托罗拉,founded by,Paul Galvin
中世纪,studied by,中世纪考古学
我最好朋友的婚礼,screenwriter,朗劳·巴斯
陨铁,subclass of,陨石
华尔街日报,instance of,日报
Shift键,subclass of,修饰键
算术编码,instance of,熵编码法
通货膨胀,instance of,经济学概念
地质年代,instance of,分期
固体,instance of,物质基本状态
帆板,location,水体
朱晓渔,family name,朱
无线通讯,topic's main category,Category:无线
张伯苓,family name,张
摩托罗拉,chief executive officer,Greg Brown
中世纪,follows,古典时代
我最好朋友的婚礼,cast member,茱莉娅·罗伯茨
华尔街日报,instance of,报纸
通货膨胀,instance of,现象
地质年代,instance of,分类法
固体,instance of,物质状态
巴里·夏普莱斯,given name,Karl
王家卫,family name,王
帆板,practiced by,windsurfer
德语,part of,西日耳曼语支
朱晓渔,place of birth,重庆市
张伯苓,place of birth,天津市
我最好朋友的婚礼,cast member,德蒙特·莫罗尼
马仕俊,instance of,人类
陈伟霆,instance of,人类
谭嗣同,instance of,人类
青岛科技大学,instance of,大学
焦曼婷,instance of,人类
魏建功,instance of,人类
天体,instance of,天文对象类型
陨铁,topic's main category,Category:铁陨石
华尔街日报,industry,新闻学
通货膨胀,subclass of,经济问题
地质年代,subclass of,标准
科摩罗,instance of,主权国家
巴里·夏普莱斯,family name,Sharpless
王家卫,place of birth,上海市
帆板,topic's main category,Category:滑浪风帆
朱晓渔,occupation,演员
张伯苓,cause of death,颅内出血
摩托罗拉,member of,ANGA
中世纪,followed by,近代史
我最好朋友的婚礼,cast member,卡麦蓉·狄亚
焦曼婷,sex or gender,女
天体,subclass of,物体
学信网,instance of,网站
华尔街日报,founded by,查尔斯·道
通货膨胀,has effect,Monetary reform in Russia 1998
地质年代,studied by,年代地层学
固体,subclass of,continuous medium
科摩罗,instance of,岛屿国家
巴里·夏普莱斯,place of birth,费城
中世纪,described by source,Ottův slovník naučný
我最好朋友的婚礼,cast member,鲁伯特·埃弗里特
中国共产主义青年团,instance of,青年翼
纳沙泰尔湖,instance of,湖泊
秦山核电站,instance of,核电站
董事会主席,instance of,维基媒体消歧义页
晚安,instance of,诗
迈克尔·卡恩,instance of,人类
Glitch,instance of,电视节目系列
马仕俊,country of citizenship,中华民国 (1912–1949)
谭嗣同,country of citizenship,清朝
青岛科技大学,located in the administrative territorial entity,青岛市
焦曼婷,country of citizenship,中华民国
天体,subclass of,space object
华尔街日报,founded by,爱德华·琼斯
通货膨胀,opposite of,通货紧缩
地质年代,studied by,地质年代学
固体,studied by,固体物理学
科摩罗,instance of,伊斯兰共和国
王家卫,occupation,电影导演
摩托罗拉,subsidiary,通用仪器
中世纪,has part,中世纪前期
我最好朋友的婚礼,cast member,菲利普·波斯科
纳沙泰尔湖,instance of,瑞士境内不属于自治市一部分的地区
Glitch,genre,科幻电视作品
马仕俊,family name,马
陈伟霆,given name,威廉
谭嗣同,family name,谭
青岛科技大学,category for alumni of educational institution,Category:青岛科技大学校友
焦曼婷,family name,焦
魏建功,family name,魏
华尔街日报,founded by,查尔斯·米尔福德-博格斯特瑟
通货膨胀,described by source,Kazakhstan. National encyclopedia
地质年代,standards body,国际地质科学联盟
固体,studied by,固体力学
科摩罗,part of,东部非洲
巴里·夏普莱斯,occupation,化学家
王家卫,occupation,编剧
张伯苓,occupation,政治人物
摩托罗拉,subsidiary,Netopia
中世纪,has part,中世纪后期
我最好朋友的婚礼,cast member,M·埃梅特·沃尔什
纳沙泰尔湖,tributary,Areuse
秦山核电站,located in the administrative territorial entity,海盐县
晚安,translator,Jaroslav Vrchlický
Glitch,creator,托尼·艾尔斯
陈伟霆,family name,陈
谭嗣同,place of birth,北京市
焦曼婷,father,焦恩俊
魏建功,occupation,语言学家
天体,studied by,天文学
通货膨胀,topic's main category,Category:通货膨胀
地质年代,standards body,国际地层委员会
固体,manifestation of,solid state of matter
科摩罗,official language,科摩罗语
巴里·夏普莱斯,occupation,大学教员
王家卫,occupation,电影制片人
摩托罗拉,subsidiary,Good Technology
中世纪,has part,中世纪中期
我最好朋友的婚礼,cast member,丽素·姬菲芙
中国共产主义青年团,political ideology,中国特色社会主义
纳沙泰尔湖,tributary,Seyon
迈克尔·卡恩,given name,迈克尔
Glitch,original broadcaster,ABC
谭嗣同,place of death,北京市
焦曼婷,occupation,演员
天体,studied by,射电天文学
地质年代,has part,geochronological unit
固体,different from,solid figure
科摩罗,official language,阿拉伯语
巴里·夏普莱斯,field of work,化学
王家卫,position held,President of the Jury at the Cannes Festival
张伯苓,position held,国民参政会参政员
摩托罗拉,subsidiary,Codex Corporation
中世纪,facet of,世界历史
我最好朋友的婚礼,cast member,凯莉·普莱斯顿
中国共产主义青年团,subsidiary,中国共产主义青年团中央委员会
纳沙泰尔湖,tributary,Arnon River
晚安,copyright status,公有领域
迈克尔·卡恩,family name,卡恩
魏建功,position held,全国人民代表大会代表
天体,followed by,联星系统
华尔街日报,member of,美洲新闻协会
地质年代,topic's main template,Template:Geologic time scale
固体,different from,物体
巴里·夏普莱斯,employer,麻省理工学院
王家卫,movement,Hong Kong Second Wave
德语,country,列支敦斯登
张伯苓,position held,中华民国国民大会代表
摩托罗拉,subsidiary,Motorola (United Kingdom)
中世纪,topic's main Wikimedia portal,Portal:中世纪
我最好朋友的婚礼,cast member,苏珊·沙利文
中国共产主义青年团,headquarters location,北京市
纳沙泰尔湖,tributary,布罗瓦河
晚安,copyright status,公有领域
陈伟霆,occupation,演员
谭嗣同,cause of death,斩首
魏建功,member of,中国科学院哲学社会科学部
天体,child astronomical body,人造卫星
华尔街日报,owned by,新闻集团
地质年代,topic's main template,Template:地质年代单位
固体,topic's main category,Category:固体
科摩罗,anthem,伟大群岛的联合
巴里·夏普莱斯,employer,斯克里普斯研究所
王家卫,movement,香港新浪潮
张伯苓,educated at,圣约翰大学
摩托罗拉,subsidiary,Motorola (Italy)
中世纪,topic's main category,Category:中世纪
我最好朋友的婚礼,cast member,克里斯托弗·马斯特森
中国共产主义青年团,topic's main category,Category:中国共产主义青年团
纳沙泰尔湖,tributary,Buron River
迈克尔·卡恩,occupation,电影剪接师
马仕俊,described by source,中国科学技术专家传略·理学编·物理学卷二
陈伟霆,occupation,电视演员
谭嗣同,father,谭继洵
魏建功,member of political party,九三学社
天体,has list,天体列表
地质年代,topic's main category,Category:地质年代
固体,on focus list of Wikimedia project,Wikipedia:基础条目
科摩罗,culture,culture of Comoros
巴里·夏普莱斯,employer,史丹佛大学
王家卫,member of,美国文理科学院
张伯苓,educated at,天津水师学堂
摩托罗拉,subsidiary,Motorola (Germany)
中世纪,on focus list of Wikimedia project,Wikipedia:基础条目
我最好朋友的婚礼,cast member,保罗·吉亚玛提
纳沙泰尔湖,tributary,芒特河
迈克尔·卡恩,award received,奥斯卡最佳影片剪辑奖
Glitch,cast member,派翠克·布兰莫
陈伟霆,educated at,圣若瑟英文中学
天体,has quality,astronomical object's surface
华尔街日报,owner of,OpinionJournal.com
巴里·夏普莱斯,member of,美国国家科学院
王家卫,award received,铜紫荆星章
张伯苓,educated at,哥伦比亚大学教育学院
摩托罗拉,subsidiary,Motorola (France)
中世纪,Wikimedia outline,outline of the Middle Ages
我最好朋友的婚礼,cast member,哈里·希勒
纳沙泰尔湖,inflows,Areuse
迈克尔·卡恩,award received,奥斯卡最佳影片剪辑奖
Glitch,cast member,艾玛·布丝
陈伟霆,instrument,声乐
谭嗣同,occupation,政治人物
天体,has quality,shell of an astronomical object
科摩罗,country,葛摩
巴里·夏普莱斯,member of,美国文理科学院
王家卫,award received,香港电影金像奖最佳导演
德语,studied by,德国学
张伯苓,member of political party,中国国民党
摩托罗拉,subsidiary,Motorola (Canada)
我最好朋友的婚礼,cast member,切尔西·罗斯
纳沙泰尔湖,inflows,齐尔河
迈克尔·卡恩,award received,奥斯卡最佳影片剪辑奖
Glitch,cast member,吉娜薇亚·欧莱莉
陈伟霆,genre,粤语流行音乐
天体,has quality,主星 (天文学)
华尔街日报,headquarters location,曼哈顿
科摩罗,capital,莫洛尼
巴里·夏普莱斯,member of,美国科学促进会
王家卫,award received,最佳导演奖 (坎城影展)
德语,linguistic typology,主宾动语序
张伯苓,described by source,Obalky knih.cz
摩托罗拉,owner of,Four-Phase Systems
我最好朋友的婚礼,cast member,约瑟夫·斯科拉
纳沙泰尔湖,inflows,布罗瓦河
迈克尔·卡恩,nominated for,奥斯卡最佳影片剪辑奖
陈伟霆,record label,英皇娱乐
天体,has quality,天文对象类型
华尔街日报,has edition,Wall Street journal (Midwest ed.)
科摩罗,located on terrain feature,East African islands
王家卫,award received,César Award for Best Foreign Film
德语,linguistic typology,动词第二顺位
张伯苓,topic's main category,Category:Zhang Boling
摩托罗拉,headquarters location,绍姆堡
我最好朋友的婚礼,cast member,布里·特纳
纳沙泰尔湖,inflows,芒特河
迈克尔·卡恩,nominated for,奥斯卡最佳影片剪辑奖
谭嗣同,occupation,新闻工作者
天体,opposite of,外太空
科摩罗,highest point,苏苏瓦山
巴里·夏普莱斯,educated at,Friends' Central School
王家卫,award received,Commandeur des Arts et des Lettres‎
德语,linguistic typology,主宾格语言
摩托罗拉,stock exchange,东京证券交易所
我最好朋友的婚礼,cast member,Anh Duong
纳沙泰尔湖,inflows,Seyon
迈克尔·卡恩,nominated for,奥斯卡最佳影片剪辑奖
谭嗣同,occupation,诗人
天体,described by source,地狱辞典
巴里·夏普莱斯,educated at,达特茅斯学院
王家卫,award received,Knight of the Legion of Honour
德语,linguistic typology,主谓宾结构
摩托罗拉,stock exchange,纽约证券交易所
我最好朋友的婚礼,cast member,萝丝·阿布杜
纳沙泰尔湖,lake outflow,Zihlkanal
迈克尔·卡恩,nominated for,奥斯卡最佳影片剪辑奖
谭嗣同,student of,王正谊
天体,said to be the same as,space object
科摩罗,basic form of government,联邦共和国
巴里·夏普莱斯,educated at,史丹佛大学
王家卫,award received,金马奖最佳导演
德语,linguistic typology,重音节拍语言
摩托罗拉,replaced by,摩托罗拉移动
我最好朋友的婚礼,cast member,Renata Scott
纳沙泰尔湖,drainage basin,莱茵河水系
迈克尔·卡恩,nominated for,奥斯卡最佳影片剪辑奖
谭嗣同,ethnic group,汉族
天体,topic's main template,Template:Infobox astro object
科摩罗,office held by head of state,President of Comoros
巴里·夏普莱斯,doctoral advisor,Eugene van Tamelen
王家卫,award received,亚洲电影大奖最佳导演
德语,linguistic typology,time–manner–place
摩托罗拉,replaced by,摩托罗拉解决方案
我最好朋友的婚礼,director of photography,拉西奥·高域斯
迈克尔·卡恩,nominated for,奥斯卡最佳影片剪辑奖
天体,topic's main category,Category:天体
华尔街日报,newspaper format,大报
科摩罗,head of state,阿扎利·阿苏马尼
巴里·夏普莱斯,residence,费城
王家卫,award received,Lumière Award Lyon Festival of cinema
德语,linguistic typology,屈折语
摩托罗拉,award received,国家技术与创新奖章 (美国)
我最好朋友的婚礼,production designer,理查德·赛尔伯特
迈克尔·卡恩,nominated for,奥斯卡最佳影片剪辑奖
天体,on focus list of Wikimedia project,Wikipedia:基础条目
华尔街日报,award received,Philip Meyer Journalism Award
科摩罗,office held by head of government,President of Comoros
巴里·夏普莱斯,residence,圣地牙哥
王家卫,award received,哈佛大学名誉博士
德语,linguistic typology,轻重音
摩托罗拉,product or material produced,移动电话
我最好朋友的婚礼,composer,詹姆斯·纽顿·霍华
迈克尔·卡恩,nominated for,奥斯卡最佳影片剪辑奖
天体,category for maps,Category:Maps of astronomical bodies
华尔街日报,award received,乔治·波尔卡新闻奖 George Polk Award
科摩罗,head of government,阿扎利·阿苏马尼
巴里·夏普莱斯,residence,麻萨诸塞州
王家卫,award received,最佳非欧洲电影
摩托罗拉,topic's main category,Category:摩托罗拉
我最好朋友的婚礼,producer,杰瑞查克
纳沙泰尔湖,located in the administrative territorial entity,伯恩州
华尔街日报,topic's main category,Category:华尔街日报
科摩罗,legislative body,科摩罗联盟议会
巴里·夏普莱斯,influenced by,康拉德·布洛赫
王家卫,award received,最佳非欧洲电影
摩托罗拉,has works in the collection,芝加哥艺术学院
我最好朋友的婚礼,producer,朗劳·巴斯
科摩罗,central bank,科摩罗中央银行
巴里·夏普莱斯,award received,古根汉奖学金
王家卫,nominated for,最佳非欧洲电影
德语,has grammatical case,与格
我最好朋友的婚礼,production company,杰瑞查克
科摩罗,diplomatic relation,中华民国
巴里·夏普莱斯,award received,诺贝尔化学奖
王家卫,nominated for,最佳非欧洲电影
我最好朋友的婚礼,production company,索尼影视娱乐
纳沙泰尔湖,located in the administrative territorial entity,纳沙泰尔州
巴里·夏普莱斯,award received,哈维奖
王家卫,educated at,香港理工大学
德语,has tense,现在式
我最好朋友的婚礼,production company,三星电影公司
纳沙泰尔湖,mountain range,侏罗山
科摩罗,diplomatic relation,朝鲜民主主义人民共和国
巴里·夏普莱斯,award received,美国国家科学院化工科学奖
王家卫,residence,上海市
德语,has tense,将来时
我最好朋友的婚礼,distributed by,三星电影公司
纳沙泰尔湖,described by source,New Encyclopedic Dictionary
巴里·夏普莱斯,award received,富兰克林研究所奖项
王家卫,described by source,Obalky knih.cz
纳沙泰尔湖,topic's main category,Category:Lake Neuchâtel
科摩罗,diplomatic relation,格鲁吉亚
巴里·夏普莱斯,award received,沃尔夫化学奖
王家卫,related category,Category:王家卫电影
德语,has tense,完成体貌
巴里·夏普莱斯,award received,King Faisal International Prize in Science
德语,has grammatical mood,已然语气
我最好朋友的婚礼,aspect ratio,2.35:1
科摩罗,member of,非洲联盟
巴里·夏普莱斯,award received,American Chemical Society Award for Creative Work in Synthetic Organic Chemistry
德语,has grammatical mood,祈使语气
我最好朋友的婚礼,color,彩色
科摩罗,member of,阿拉伯国家联盟
巴里·夏普莱斯,award received,Scheele Award
德语,has grammatical mood,虚拟语气
我最好朋友的婚礼,nominated for,Academy Award for Best Original Musical or Comedy Score
科摩罗,member of,伊斯兰会议组织
巴里·夏普莱斯,award received,亚瑟·科普奖
德语,has grammatical gender,阳性
我最好朋友的婚礼,CNC film rating (France),no age restriction (U)
科摩罗,member of,国际复兴开发银行
巴里·夏普莱斯,award received,Prelog Medal
德语,has grammatical gender,feminine
我最好朋友的婚礼,Filmiroda rating,Category II
巴里·夏普莱斯,award received,Centenary Prize
德语,has grammatical gender,neuter
我最好朋友的婚礼,FSK film rating,FSK 6
科摩罗,member of,国际金融公司
巴里·夏普莱斯,award received,普利斯特里奖
德语,writing system,拉丁文字
